# english	es-ES
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - El tipo de cambio (Cambiado, Creado, Eliminado)
%counter% - Global usage counter for reward	%counter% - Contador global de uso de la recompensa
%empty% - If the file is now empty	%empty% - Si el archivo ahora está vacío
%fileName% - The file name with extension	%fileName% - El nombre del archivo con extensión
%fullPath% - The full path to the file	%fullPath% - La ruta completa del archivo
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - La línea específica del archivo, índice basado en 0, 0 es la primera línea
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - La línea escapada para usar en una consulta de URL
%lines% - The number of lines in the file	%lines% - El número de líneas en el archivo
%randomUser0% - Random active user's display name	%randomUser0% - Nombre para mostrar de un usuario activo aleatorio
%randomUser1% - Random active user's display name	%randomUser1% - Nombre para mostrar de un usuario activo aleatorio
%randomUserName0% - Random active user's login name	%randomUserName0% - Nombre de inicio de sesión de un usuario activo aleatorio
%randomUserName1% - Random active user's login name	%randomUserName1% - Nombre de inicio de sesión de un usuario activo aleatorio
%rawInput% - UNSANITIZED input from redemption	%rawInput% - Entrada NO DEPURADA del canje
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - Nombre para mostrar del usuario con timeout
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - Nombre de inicio de sesión del usuario con timeout
%user% - Display name of User who used reward	%user% - Nombre para mostrar del usuario que usó la recompensa
%userCounter% - Usage counter for user who used reward	%userCounter% - Contador de uso del usuario que usó la recompensa
%userName% - Login of user who used reward	%userName% - Inicio de sesión del usuario que usó la recompensa
(0/0)	(0/0)
(Optional)	(Opcional)
(in user list)	(en la lista de usuarios)
(not in user list)	(no en la lista de usuarios)
({0})	({0})
({0}/{1})	({0}/{1})
- The file line as the file changes	- La línea del archivo a medida que cambia
- The file name with extension	- El nombre del archivo con extensión
- The full path to the file	- La ruta completa del archivo
1. Global Variable Viewer	1. Visor de variables globales
1.0.7	1.0.7
2. Action History Variable Inspecting	2. Inspección de variables del historial de acciones
A Switch evaluates the input against the Case Values for equality, and first matching will have it's SubActions run.	Un Switch evalúa la entrada contra los valores de Case para igualdad, y la primera coincidencia ejecutará sus subacciones.
A caveat to note, due to the nature of serializing/deserializing, not all data types will preserved. Ones that I am aware of are List<T> objects, these will become object[] arrays when loaded.	Una advertencia: debido a la naturaleza de la serialización/deserialización, no todos los tipos de datos se conservarán. Los que conozco son los objetos List<T>, que se convertirán en matrices object[] al cargarlos.
A channel may specify a maximum of 10 tags. Each tag is limited to a maximum of 25 characters and may not be an empty string or contain spaces or special characters.	Un canal puede especificar un máximo de 10 etiquetas. Cada etiqueta tiene un máximo de 25 caracteres y no puede ser una cadena vacía ni contener espacios o caracteres especiales.
A description for your backup	Una descripción para tu copia de seguridad
A game engine for your live streams	Un motor de juego para tus transmisiones en vivo
A restart is REQUIRED after enabling or disabling this labs feature.	Se REQUIERE reiniciar después de habilitar o deshabilitar esta función de laboratorio.
A rollover will happen when this value is reached	Se producirá un traspaso cuando se alcance este valor
A variable, success will also be added, and will be true if Ok was pressed	También se agregará una variable, success, que será verdadera si se presionó Aceptar
A very special thanks to the following people who believed in me and this project.	Un agradecimiento muy especial a las siguientes personas que creyeron en mí y en este proyecto.
API Key	Clave de API
AR Lens	Lente AR
About	Acerca de
Account Settings	Configuración de la cuenta
Action History	Historial de acciones
Actions	Acciones
Actions & Queues	Acciones y colas
Actions ({0})	Acciones ({0})
Add Changed Data	Agregar datos cambiados
Add Connection	Agregar conexión
Add Group	Agregar grupo
Add Multiple Twitch Users to Group	Agregar varios usuarios de Twitch al grupo
Add Results to Arguments	Agregar resultados a los argumentos
Add User	Agregar usuario
Add User to	Agregar usuario a
Add Users	Agregar usuarios
Add Variable	Agregar variable
Add a Command in a Group!	¡Agrega un comando en un grupo!
Add a Command!	¡Agrega un comando!
Add a Deck!	¡Agrega un teclado!
Add a Group!	¡Agrega un grupo!
Add a Kick Reward!	¡Agrega una recompensa de Kick!
Add a Timer!	¡Agrega un temporizador!
Add a Twitch Reward!	¡Agrega una recompensa de Twitch!
Add a Voice Control Command!	¡Agrega un comando de control por voz!
Add a random number into arguments, use for percentages, or anything else.	Agrega un número aleatorio a los argumentos, úsalo para porcentajes o cualquier otra cosa.
Add an Action in a Group!	¡Agrega una acción en un grupo!
Add common C# reference	Agregar referencia común de C#
Add reference from file...	Agregar referencia desde archivo...
Add the specified number of random users to the arguments, this will provide a unique number of users filterd by their present status and that have been seen by Streamer.bot.	Agrega el número especificado de usuarios aleatorios a los argumentos; esto proporcionará un número único de usuarios filtrados por su estado de presencia y que hayan sido vistos por Streamer.bot.
Add your HypeRate ID (CaSe SenSITiVe!!!!)	Agrega tu ID de HypeRate (¡¡¡SeNsiBLe A MaYúScUlAs!!!!)
Add your SubActions to either of these groups to perform actions based on the result of this expression.	Agrega tus subacciones a cualquiera de estos grupos para realizar acciones según el resultado de esta expresión.
Add, edit and delete user groups	Agregar, editar y eliminar grupos de usuarios
Add, edit and manage Streamlabs Desktop instances	Agregar, editar y administrar instancias de Streamlabs Desktop
Adding multiple Get Quotes will overwrite each previous one	Agregar varios Obtener citas sobrescribirá cada uno anterior
Adds the present user at the index specified.  Index can also be a variable.  As a note, the present user list can change, so if you're iterating through, there is a possibility for same/missed results.	Agrega el usuario presente en el índice especificado. El índice también puede ser una variable. Nota: la lista de usuarios presentes puede cambiar, por lo que si estás iterando, existe la posibilidad de resultados duplicados u omitidos.
Alerts Widget URL	URL del widget de alertas
Allowed values for balance are %variables%, or a number value between 0 and 100 inclusive.	Los valores permitidos para balance son %variables%, o un valor numérico entre 0 y 100 inclusive.
Allowed values for gain are %variables%, or a decimal value between 0.0 and 1.0 inclusive.	Los valores permitidos para gain son %variables%, o un valor decimal entre 0.0 y 1.0 inclusive.
Allowed values for volume are %variables%, or a decimal value between 0.0 and 1.0 inclusive.	Los valores permitidos para volume son %variables%, o un valor decimal entre 0.0 y 1.0 inclusive.
Alpha Access	Alpha Access
Also a nod to all those supporters past and present who are not listed above	También un saludo a todos aquellos seguidores pasados y presentes que no figuran arriba
Always Run	Ejecutar siempre
An up and coming heavy weight	Un peso pesado emergente
Anti-flicker	Anti-parpadeo
Any references added to the common references list above will be automatically added to every Execute C# code when it's compiled	Cualquier referencia agregada a la lista de referencias comunes anterior se agregará automáticamente a cada Ejecutar código C# cuando se compile
Any values that are left blank, will not be changed	Cualquier valor que se deje en blanco no se cambiará
Append to File	Añadir al archivo
Application Volume	Volumen de la aplicación
As JSON	Como JSON
Ask for Confirmation on Close	Preguntar confirmación al cerrar
Attempt Auto-Typing	Intentar escritura automática
Audio Enabled (boolean)	Audio habilitado (booleano)
Audio Input Device	Dispositivo de entrada de audio
Audio Output Device	Dispositivo de salida de audio
Auto Connect	Conexión automática
Auto Connect on Startup	Conectar automáticamente al inicio
Auto Monitor	Monitoreo automático
Auto Monitor Live Broadcasts	Monitorear automáticamente transmisiones en vivo
Auto Open	Abrir automáticamente
Auto Open Chat on Startup	Abrir automáticamente el chat al inicio
Auto Open Event Feed on Startup	Abrir automáticamente el feed de eventos al inicio
Auto Open on Startup	Abrir automáticamente al inicio
Auto Reconnect	Reconexión automática
Auto Reset	Restablecimiento automático
Auto Reset Cache	Restablecer caché automáticamente
Auto Start	Inicio automático
Auto Start Listen	Iniciar escucha automáticamente
Auto Start on Startup	Inicio automático al inicio
Auto Type	Escritura automática
Auto pin message after it is sent and will be pinned for 20 minutes	Fijar el mensaje automáticamente después de enviarlo y permanecerá fijado durante 20 minutos
Auto-Type	Escritura automática
Auto-Type non-JSON Result	Escribir automáticamente resultado no JSON
Automatically connect to CrowdControl when Streamer.bot starts up	Conectar automáticamente a CrowdControl cuando se inicia Streamer.bot
Automatically connect to Elgato CameraHub when Streamer.bot starts up	Conectar automáticamente a Elgato CameraHub cuando se inicia Streamer.bot
Automatically connect to Elgato Stream Deck MCP when Streamer.bot starts up	Conectar automáticamente a Elgato Stream Deck MCP cuando se inicia Streamer.bot
Automatically connect to Elgato WaveLink when Streamer.bot starts up	Conectar automáticamente a Elgato WaveLink cuando se inicia Streamer.bot
Automatically connect to HypeRate.io when Streamer.bot starts up	Conectar automáticamente a HypeRate.io cuando se inicia Streamer.bot
Automatically connect to Lumia Stream when Streamer.bot starts up	Conectar automáticamente a Lumia Stream cuando se inicia Streamer.bot
Automatically connect to Pally.gg when Streamer.bot starts up	Conectar automáticamente a Pally.gg cuando se inicia Streamer.bot
Automatically connect to Pulsoid when Streamer.bot starts up	Conectar automáticamente a Pulsoid cuando se inicia Streamer.bot
Automatically connect to Speaker.bot when Streamer.bot starts up	Conectar automáticamente a Speaker.bot cuando se inicia Streamer.bot
Automatically connect to StreamLoots when Streamer.bot starts up	Conectar automáticamente a StreamLoots cuando se inicia Streamer.bot
Automatically connect to Streamfog when Streamer.bot starts up	Conectar automáticamente a Streamfog cuando se inicia Streamer.bot
Automatically connect to Throwing System when Streamer.bot starts up	Conectar automáticamente a Throwing System cuando se inicia Streamer.bot
Automatically connect to TipeeeStream when Streamer.bot starts up	Conectar automáticamente a TipeeeStream cuando se inicia Streamer.bot
Automatically connect to VTubeStudio when Streamer.bot starts up	Conectar automáticamente a VTubeStudio cuando se inicia Streamer.bot
Automatically connect to VoiceMod when Streamer.bot starts up	Conectar automáticamente a VoiceMod cuando se inicia Streamer.bot
Automatically connect to your YouTube Bot account when Streamer.bot starts up	Conectar automáticamente a tu cuenta de bot de YouTube cuando se inicia Streamer.bot
Automatically connect to your YouTube Broadcaster account when Streamer.bot starts up	Conectar automáticamente a tu cuenta de emisor de YouTube cuando se inicia Streamer.bot
Automatically reconnect to CrowdControl when the connection is terminated	Reconectar automáticamente a CrowdControl cuando la conexión se termina
Automatically reconnect to Elgato CameraHub when the connection is terminated	Reconectar automáticamente a Elgato CameraHub cuando la conexión se termina
Automatically reconnect to Elgato Stream Deck MCP when the connection is terminated	Reconectar automáticamente a Elgato Stream Deck MCP cuando la conexión se termina
Automatically reconnect to Elgato WaveLink when the connection is terminated	Reconectar automáticamente a Elgato WaveLink cuando la conexión se termina
Automatically reconnect to HypeRate.io when the connection is terminated	Reconectar automáticamente a HypeRate.io cuando la conexión se termina
Automatically reconnect to Lumia Stream when the connection is terminated	Reconectar automáticamente a Lumia Stream cuando la conexión se termina
Automatically reconnect to Pally.gg when the connection is terminated	Reconectar automáticamente a Pally.gg cuando la conexión se termina
Automatically reconnect to Pulsoid when the connection is terminated	Reconectar automáticamente a Pulsoid cuando la conexión se termina
Automatically reconnect to Speaker.bot when the connection is terminated	Reconectar automáticamente a Speaker.bot cuando la conexión se termina
Automatically reconnect to StreamLoots when the connection is terminated	Reconectar automáticamente a StreamLoots cuando la conexión se termina
Automatically reconnect to Streamfog when the connection is terminated	Reconectar automáticamente a Streamfog cuando la conexión se termina
Automatically reconnect to Throwing System when the connection is terminated	Reconectar automáticamente a Throwing System cuando la conexión se termina
Automatically reconnect to TipeeeStream when the connection is terminated	Reconectar automáticamente a TipeeeStream cuando la conexión se termina
Automatically reconnect to VTubeStudio when the connection is terminated	Reconectar automáticamente a VTubeStudio cuando la conexión se termina
Automatically reconnect to VoiceMod when the connection is terminated	Reconectar automáticamente a VoiceMod cuando la conexión se termina
Automatically run the Stream Update trigger when connecting to Twitch	Ejecutar automáticamente el disparador de actualización de transmisión al conectar a Twitch
Automatically start listening for voice commands when Streamer.bot starts	Iniciar automáticamente la escucha de comandos de voz cuando se inicia Streamer.bot
Automatically start the Process Watcher when Streamer.bot starts up	Iniciar automáticamente el vigilante de procesos cuando se inicia Streamer.bot
Automatically start the server when Streamer.bot starts up	Iniciar automáticamente el servidor cuando se inicia Streamer.bot
Available Endpoints	Puntos de conexión disponibles
Available Requests	Solicitudes disponibles
Available Sub-Actions	Subacciones disponibles
Available Triggers	Disparadores disponibles
Avatar URL	URL del avatar
Background Color	Color de fondo
Backup Folder	Carpeta de copias de seguridad
Backup Now	Respaldar ahora
Backup Progress	Progreso de la copia de seguridad
Backup Status	Estado de la copia de seguridad
Backup Version:	Versión de la copia de seguridad:
Backups	Copias de seguridad
Backups currently available in your cloud storage	Copias de seguridad actualmente disponibles en tu almacenamiento en la nube
Basic settings related to Streamer.bot	Configuración básica relacionada con Streamer.bot
Bits Cost	Costo en bits
Bits Donated	Bits donados
Bot Account	Cuenta de bot
Bot Account Auto Connect	Conexión automática de la cuenta de bot
Both fields support parsing.  Duration can either be empty, which means the Pinned Message would last until the stream ends, or it must be, or parse to a value between 30 and 1800.	Ambos campos admiten análisis. La duración puede estar vacía, lo que significa que el mensaje fijado duraría hasta que termine la transmisión, o debe ser o analizarse a un valor entre 30 y 1800.
Broadcast Information	Información de la transmisión
Broadcaster Account	Cuenta de emisor
Broadcaster Account Auto Connect	Conexión automática de la cuenta de emisor
Browse your past videos	Explora tus videos pasados
Browser Source Audio Enabled (boolean)	Audio de origen de navegador habilitado (booleano)
Button ID	ID del botón
By clicking "I Agree" below, you are agreeing to YouTube's Terms of Service, Google's Privacy Policy, and Streamer.bot's Terms of Service and Privacy policy as linked below.	Al hacer clic en "Acepto" a continuación, aceptas los Términos de servicio de YouTube, la Política de privacidad de Google y los Términos de servicio y la Política de privacidad de Streamer.bot, como se enlazan a continuación.
