# english	chinese
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - 变更的类型（Changed、Created、Deleted）
%counter% - Global usage counter for reward	%counter% - 奖励的全局使用计数器
%empty% - If the file is now empty	%empty% - 文件现在是否为空
%fileName% - The file name with extension	%fileName% - 带扩展名的文件名
%fullPath% - The full path to the file	%fullPath% - 文件的完整路径
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - 文件的特定行，从 0 开始的索引，0 为第一行
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - 已转义用于 URL 查询的行
%lines% - The number of lines in the file	%lines% - 文件的行数
%randomUser0% - Random active user's display name	%randomUser0% - 随机活跃用户的显示名称
%randomUser1% - Random active user's display name	%randomUser1% - 随机活跃用户的显示名称
%randomUserName0% - Random active user's login name	%randomUserName0% - 随机活跃用户的登录名
%randomUserName1% - Random active user's login name	%randomUserName1% - 随机活跃用户的登录名
%rawInput% - UNSANITIZED input from redemption	%rawInput% - 来自兑换的未净化输入
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - 被超时用户的显示名称
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - 被超时用户的登录名
%user% - Display name of User who used reward	%user% - 使用奖励的用户的显示名称
%userCounter% - Usage counter for user who used reward	%userCounter% - 使用奖励的用户的计数器
%userName% - Login of user who used reward	%userName% - 使用奖励的用户的登录名
(0/0)	(0/0)
(Optional)	（可选）
(in user list)	（在用户列表中）
(not in user list)	（不在用户列表中）
({0})	（{0}）
({0}/{1})	（{0}/{1}）
- The file line as the file changes	- 文件随内容变化时的行
- The file name with extension	- 带扩展名的文件名
- The full path to the file	- 文件的完整路径
1. Global Variable Viewer	1. 全局变量查看器
1.0.7	1.0.7
2. Action History Variable Inspecting	2. 动作历史变量检查
A Switch evaluates the input against the Case Values for equality, and first matching will have it's SubActions run.	Switch 会将输入与“大小写值”进行相等比较，第一个匹配的 Case 会运行其子动作。
A caveat to note, due to the nature of serializing/deserializing, not all data types will preserved. Ones that I am aware of are List<T> objects, these will become object[] arrays when loaded.	需要注意：由于序列化/反序列化的特性，并非所有数据类型都能保留。我已知的有 List<T> 对象，加载时会变为 object[] 数组。
A channel may specify a maximum of 10 tags. Each tag is limited to a maximum of 25 characters and may not be an empty string or contain spaces or special characters.	一个频道最多可指定 10 个标签。每个标签最多 25 个字符，不能为空字符串，也不能包含空格或特殊字符。
A description for your backup	为你的备份添加说明
A game engine for your live streams	适用于你的直播的游戏引擎
A restart is REQUIRED after enabling or disabling this labs feature.	启用或禁用此实验室功能后需要重启。
A rollover will happen when this value is reached	达到此值后将发生结转
A variable, success will also be added, and will be true if Ok was pressed	还会添加一个变量 success，如果按下了“确定”则为 true
