# english	ko-KR
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - 변경 유형(변경, 생성, 삭제)
%counter% - Global usage counter for reward	%counter% - 보상의 전역 사용 카운터
%empty% - If the file is now empty	%empty% - 파일이 비어 있는지 여부
%fileName% - The file name with extension	%fileName% - 확장자를 포함한 파일 이름
%fullPath% - The full path to the file	%fullPath% - 파일의 전체 경로
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - 파일의 특정 줄(0 기반 인덱스, 0이 첫 줄)
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - URL 쿼리에 사용하기 위해 이스케이프된 줄
%lines% - The number of lines in the file	%lines% - 파일의 줄 수
%randomUser0% - Random active user's display name	%randomUser0% - 무작위 활성 사용자의 표시 이름
%randomUser1% - Random active user's display name	%randomUser1% - 무작위 활성 사용자의 표시 이름
%randomUserName0% - Random active user's login name	%randomUserName0% - 무작위 활성 사용자의 로그인 이름
%randomUserName1% - Random active user's login name	%randomUserName1% - 무작위 활성 사용자의 로그인 이름
%rawInput% - UNSANITIZED input from redemption	%rawInput% - 리뎀션에서 나온 비정화 입력
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - 타임아웃된 사용자의 표시 이름
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - 타임아웃된 사용자의 로그인 이름
%user% - Display name of User who used reward	%user% - 보상을 사용한 사용자의 표시 이름
%userCounter% - Usage counter for user who used reward	%userCounter% - 보상을 사용한 사용자의 사용 카운터
%userName% - Login of user who used reward	%userName% - 보상을 사용한 사용자의 로그인
(0/0)	(0/0)
(Optional)	(선택 사항)
(in user list)	(사용자 목록에 있음)
(not in user list)	(사용자 목록에 없음)
({0})	({0})
({0}/{1})	({0}/{1})
- The file line as the file changes	- 파일 내용이 변경될 때의 줄
- The file name with extension	- 확장자를 포함한 파일 이름
- The full path to the file	- 파일의 전체 경로
1. Global Variable Viewer	1. 전역 변수 뷰어
1.0.7	1.0.7
2. Action History Variable Inspecting	2. 액션 기록 변수 검사
A Switch evaluates the input against the Case Values for equality, and first matching will have it's SubActions run.	Switch는 입력을 Case Values와 동등 비교하며, 첫 번째 일치 항목의 하위 액션이 실행됩니다.
A caveat to note, due to the nature of serializing/deserializing, not all data types will preserved. Ones that I am aware of are List<T> objects, these will become object[] arrays when loaded.	알아둘 점: 직렬화/역직렬화의 특성상 모든 데이터 유형이 보존되지는 않습니다. 알고 있는 것은 List<T> 개체로, 로드 시 object[] 배열이 됩니다.
A channel may specify a maximum of 10 tags. Each tag is limited to a maximum of 25 characters and may not be an empty string or contain spaces or special characters.	채널은 최대 10개의 태그를 지정할 수 있습니다. 각 태그는 최대 25자로 제한되며 빈 문자열이거나 공백 또는 특수 문자를 포함할 수 없습니다.
A description for your backup	백업에 대한 설명
A game engine for your live streams	라이브 스트리밍을 위한 게임 엔진
A restart is REQUIRED after enabling or disabling this labs feature.	이 랩 기능을 활성화/비활성화한 후에는 다시 시작해야 합니다.
A rollover will happen when this value is reached	이 값에 도달하면 롤오버가 발생합니다
A variable, success will also be added, and will be true if Ok was pressed	변수 success도 추가되며, 확인을 누르면 true가 됩니다
A very special thanks to the following people who believed in me and this project.	저와 이 프로젝트를 믿어준 다음 분들께 특별히 감사드립니다.
API Key	API 키
AR Lens	AR 렌즈
About	정보
Account Settings	계정 설정
Action History	액션 기록
Actions	액션
Actions & Queues	액션 및 큐
Actions ({0})	액션({0})
Add Changed Data	변경된 데이터 추가
Add Connection	연결 추가
Add Group	그룹 추가
Add Multiple Twitch Users to Group	여러 Twitch 사용자를 그룹에 추가
Add Results to Arguments	결과를 인수에 추가
Add User	사용자 추가
Add User to	사용자 추가:
Add Users	사용자 추가
Add Variable	변수 추가
Add a Command in a Group!	그룹에 명령 추가!
Add a Command!	명령 추가!
