# english	ja-JP
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - 変更の種類（変更、作成、削除）
%counter% - Global usage counter for reward	%counter% - リワードのグローバル使用カウンター
%empty% - If the file is now empty	%empty% - ファイルが空になったかどうか
%fileName% - The file name with extension	%fileName% - 拡張子付きのファイル名
%fullPath% - The full path to the file	%fullPath% - ファイルのフルパス
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - ファイルの特定の行（0ベース、0が最初の行）
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - URLクエリ用にエスケープされた行
%lines% - The number of lines in the file	%lines% - ファイルの行数
%randomUser0% - Random active user's display name	%randomUser0% - ランダムなアクティブユーザーの表示名
%randomUser1% - Random active user's display name	%randomUser1% - ランダムなアクティブユーザーの表示名
%randomUserName0% - Random active user's login name	%randomUserName0% - ランダムなアクティブユーザーのログイン名
%randomUserName1% - Random active user's login name	%randomUserName1% - ランダムなアクティブユーザーのログイン名
%rawInput% - UNSANITIZED input from redemption	%rawInput% - リデンプションからの未サニタイズ入力
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - タイムアウトしたユーザーの表示名
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - タイムアウトしたユーザーのログイン名
%user% - Display name of User who used reward	%user% - リワードを使用したユーザーの表示名
%userCounter% - Usage counter for user who used reward	%userCounter% - リワードを使用したユーザーの使用カウンター
%userName% - Login of user who used reward	%userName% - リワードを使用したユーザーのログイン名
(0/0)	(0/0)
(Optional)	（任意）
(in user list)	（ユーザーリスト内）
(not in user list)	（ユーザーリスト外）
({0})	（{0}）
({0}/{1})	（{0}/{1}）
- The file line as the file changes	- ファイルの内容が変化したときの行
- The file name with extension	- 拡張子付きのファイル名
- The full path to the file	- ファイルのフルパス
1. Global Variable Viewer	1. グローバル変数ビューアー
1.0.7	1.0.7
2. Action History Variable Inspecting	2. アクション履歴の変数検査
A Switch evaluates the input against the Case Values for equality, and first matching will have it's SubActions run.	Switchは入力をCase Valuesと等価比較し、最初に一致したケースのサブアクションが実行されます。
A caveat to note, due to the nature of serializing/deserializing, not all data types will preserved. Ones that I am aware of are List<T> objects, these will become object[] arrays when loaded.	注意点として、シリアライズ/デシリアライズの性質上、すべてのデータ型が保持されるわけではありません。把握しているのは List<T> オブジェクトで、読み込み時に object[] 配列になります。
A channel may specify a maximum of 10 tags. Each tag is limited to a maximum of 25 characters and may not be an empty string or contain spaces or special characters.	チャンネルは最大10個のタグを指定できます。各タグは最大25文字で、空文字列にすることはできず、スペースや特殊文字を含めることもできません。
A description for your backup	バックアップの説明
A game engine for your live streams	配信のためのゲームエンジン
A restart is REQUIRED after enabling or disabling this labs feature.	このラボ機能を有効/無効にした後は再起動が必要です。
A rollover will happen when this value is reached	この値に達するとロールオーバーが発生します
A variable, success will also be added, and will be true if Ok was pressed	変数 success も追加され、OKが押された場合は true になります
A very special thanks to the following people who believed in me and this project.	私とこのプロジェクトを信じてくれた以下の方々に心から感謝します。
API Key	API キー
AR Lens	AR レンズ
About	情報
Account Settings	アカウント設定
Action History	アクション履歴
Actions	アクション
Actions & Queues	アクションとキュー
Actions ({0})	アクション（{0}）
Add Changed Data	変更データを追加
Add Connection	接続を追加
Add Group	グループを追加
Add Multiple Twitch Users to Group	複数の Twitch ユーザーをグループに追加
Add Results to Arguments	結果を引数に追加
Add User	ユーザーを追加
Add User to	ユーザーを追加：
Add Users	ユーザーを追加
Add Variable	変数を追加
Add a Command in a Group!	グループにコマンドを追加！
Add a Command!	コマンドを追加！
Add a Deck!	デッキを追加！
Add a Group!	グループを追加！
Add a Kick Reward!	Kick リワードを追加！
Add a Timer!	タイマーを追加！
Add a Twitch Reward!	Twitch リワードを追加！
Add a Voice Control Command!	音声コントロールコマンドを追加！
Add a random number into arguments, use for percentages, or anything else.	引数に乱数を追加します。パーセントやその他の用途に使用します。
Add an Action in a Group!	グループにアクションを追加！
Add common C# reference	一般的な C# 参照を追加
Add reference from file...	ファイルから参照を追加...
Add the specified number of random users to the arguments, this will provide a unique number of users filterd by their present status and that have been seen by Streamer.bot.	指定した数のランダムユーザーを引数に追加します。現在のステータスと Streamer.bot で見られたことのあるユーザーでフィルタリングされた一意のユーザー数を提供します。
Add your HypeRate ID (CaSe SenSITiVe!!!!)	HypeRate ID を入力してください（大文字小文字区別！！）
Add your SubActions to either of these groups to perform actions based on the result of this expression.	この式の結果に基づいてアクションを実行するには、サブアクションをこれらのグループのいずれかに追加してください。
Add, edit and delete user groups	ユーザーグループを追加、編集、削除
Add, edit and manage Streamlabs Desktop instances	Streamlabs Desktop インスタンスを追加、編集、管理
Adding multiple Get Quotes will overwrite each previous one	Get Quotes を複数追加すると、前のものはそれぞれ上書きされます
Adds the present user at the index specified.  Index can also be a variable.  As a note, the present user list can change, so if you're iterating through, there is a possibility for same/missed results.	指定したインデックスに現在のユーザーを追加します。インデックスは変数にもできます。現在のユーザーリストは変化する可能性があるため、イテレーションすると重複や漏れが発生する可能性があります。
Alerts Widget URL	アラートウィジェット URL
Allowed values for balance are %variables%, or a number value between 0 and 100 inclusive.	balance に指定できる値は %variables% か、0〜100（両端含む）の数値です。
Allowed values for gain are %variables%, or a decimal value between 0.0 and 1.0 inclusive.	gain に指定できる値は %variables% か、0.0〜1.0（両端含む）の小数値です。
Allowed values for volume are %variables%, or a decimal value between 0.0 and 1.0 inclusive.	volume に指定できる値は %variables% か、0.0〜1.0（両端含む）の小数値です。
Alpha Access	Alpha Access
Also a nod to all those supporters past and present who are not listed above	上にリストされていない、過去から現在までのすべてのサポーターにも敬意を表します
Always Run	常に実行
An up and coming heavy weight	注目の大型新人
Anti-flicker	アンチフリッカー
Any references added to the common references list above will be automatically added to every Execute C# code when it's compiled	上記の共通参照リストに追加された参照は、コンパイル時にすべての Execute C# code に自動的に追加されます
Any values that are left blank, will not be changed	空のままにした値は変更されません
Append to File	ファイルに追記
Application Volume	アプリの音量
As JSON	JSON として
Ask for Confirmation on Close	終了時に確認を求める
Attempt Auto-Typing	自動入力を試行
Audio Enabled (boolean)	オーディオ有効（ブール値）
Audio Input Device	音声入力デバイス
Audio Output Device	音声出力デバイス
Auto Connect	自動接続
Auto Connect on Startup	起動時に自動接続
Auto Monitor	自動監視
Auto Monitor Live Broadcasts	ライブ配信を自動監視
Auto Open	自動で開く
Auto Open Chat on Startup	起動時にチャットを自動で開く
Auto Open Event Feed on Startup	起動時にイベントフィードを自動で開く
Auto Open on Startup	起動時に自動で開く
Auto Reconnect	自動再接続
Auto Reset	自動リセット
Auto Reset Cache	キャッシュを自動リセット
Auto Start	自動開始
Auto Start Listen	リスンを自動開始
Auto Start on Startup	起動時に自動開始
Auto Type	自動入力
Auto pin message after it is sent and will be pinned for 20 minutes	送信後にメッセージを自動的にピン留めし、20分間ピン留めされます
Auto-Type	自動入力
Auto-Type non-JSON Result	非 JSON 結果を自動入力
Automatically connect to CrowdControl when Streamer.bot starts up	Streamer.bot 起動時に CrowdControl に自動接続
Automatically connect to Elgato CameraHub when Streamer.bot starts up	Streamer.bot 起動時に Elgato CameraHub に自動接続
Automatically connect to Elgato Stream Deck MCP when Streamer.bot starts up	Streamer.bot 起動時に Elgato Stream Deck MCP に自動接続
Automatically connect to Elgato WaveLink when Streamer.bot starts up	Streamer.bot 起動時に Elgato WaveLink に自動接続
Automatically connect to HypeRate.io when Streamer.bot starts up	Streamer.bot 起動時に HypeRate.io に自動接続
Automatically connect to Lumia Stream when Streamer.bot starts up	Streamer.bot 起動時に Lumia Stream に自動接続
Automatically connect to Pally.gg when Streamer.bot starts up	Streamer.bot 起動時に Pally.gg に自動接続
Automatically connect to Pulsoid when Streamer.bot starts up	Streamer.bot 起動時に Pulsoid に自動接続
Automatically connect to Speaker.bot when Streamer.bot starts up	Streamer.bot 起動時に Speaker.bot に自動接続
Automatically connect to StreamLoots when Streamer.bot starts up	Streamer.bot 起動時に StreamLoots に自動接続
Automatically connect to Streamfog when Streamer.bot starts up	Streamer.bot 起動時に Streamfog に自動接続
Automatically connect to Throwing System when Streamer.bot starts up	Streamer.bot 起動時に Throwing System に自動接続
Automatically connect to TipeeeStream when Streamer.bot starts up	Streamer.bot 起動時に TipeeeStream に自動接続
Automatically connect to VTubeStudio when Streamer.bot starts up	Streamer.bot 起動時に VTubeStudio に自動接続
Automatically connect to VoiceMod when Streamer.bot starts up	Streamer.bot 起動時に VoiceMod に自動接続
Automatically connect to your YouTube Bot account when Streamer.bot starts up	Streamer.bot 起動時に YouTube Bot アカウントに自動接続
Automatically connect to your YouTube Broadcaster account when Streamer.bot starts up	Streamer.bot 起動時に YouTube Broadcaster アカウントに自動接続
Automatically reconnect to CrowdControl when the connection is terminated	接続が切断されたときに CrowdControl に自動再接続
Automatically reconnect to Elgato CameraHub when the connection is terminated	接続が切断されたときに Elgato CameraHub に自動再接続
Automatically reconnect to Elgato Stream Deck MCP when the connection is terminated	接続が切断されたときに Elgato Stream Deck MCP に自動再接続
Automatically reconnect to Elgato WaveLink when the connection is terminated	接続が切断されたときに Elgato WaveLink に自動再接続
Automatically reconnect to HypeRate.io when the connection is terminated	接続が切断されたときに HypeRate.io に自動再接続
Automatically reconnect to Lumia Stream when the connection is terminated	接続が切断されたときに Lumia Stream に自動再接続
Automatically reconnect to Pally.gg when the connection is terminated	接続が切断されたときに Pally.gg に自動再接続
Automatically reconnect to Pulsoid when the connection is terminated	接続が切断されたときに Pulsoid に自動再接続
Automatically reconnect to Speaker.bot when the connection is terminated	接続が切断されたときに Speaker.bot に自動再接続
Automatically reconnect to StreamLoots when the connection is terminated	接続が切断されたときに StreamLoots に自動再接続
Automatically reconnect to Streamfog when the connection is terminated	接続が切断されたときに Streamfog に自動再接続
Automatically reconnect to Throwing System when the connection is terminated	接続が切断されたときに Throwing System に自動再接続
Automatically reconnect to TipeeeStream when the connection is terminated	接続が切断されたときに TipeeeStream に自動再接続
Automatically reconnect to VTubeStudio when the connection is terminated	接続が切断されたときに VTubeStudio に自動再接続
Automatically reconnect to VoiceMod when the connection is terminated	接続が切断されたときに VoiceMod に自動再接続
Automatically run the Stream Update trigger when connecting to Twitch	Twitch に接続するときに Stream Update トリガーを自動実行
Automatically start listening for voice commands when Streamer.bot starts	Streamer.bot 起動時に音声コマンドのリスンを自動開始
Automatically start the Process Watcher when Streamer.bot starts up	Streamer.bot 起動時にプロセスウォッチャーを自動開始
Automatically start the server when Streamer.bot starts up	Streamer.bot 起動時にサーバーを自動開始
Available Endpoints	利用可能なエンドポイント
Available Requests	利用可能なリクエスト
Available Sub-Actions	利用可能なサブアクション
Available Triggers	利用可能なトリガー
Avatar URL	アバター URL
Background Color	背景色
Backup Folder	バックアップフォルダー
Backup Now	今すぐバックアップ
Backup Progress	バックアップの進行状況
Backup Status	バックアップの状態
Backup Version:	バックアップバージョン：
Backups	バックアップ
Backups currently available in your cloud storage	クラウドストレージで現在利用可能なバックアップ
Basic settings related to Streamer.bot	Streamer.bot に関する基本設定
Bits Cost	Bits 費用
Bits Donated	寄付された Bits
Bot Account	Bot アカウント
Bot Account Auto Connect	Bot アカウント自動接続
Both fields support parsing.  Duration can either be empty, which means the Pinned Message would last until the stream ends, or it must be, or parse to a value between 30 and 1800.	両方のフィールドがパースに対応しています。Duration は空（ピン留めメッセージが配信終了まで続く）か、30〜1800 の値に設定またはパースされる必要があります。
Broadcast Information	配信情報
Broadcaster Account	Broadcaster アカウント
Broadcaster Account Auto Connect	Broadcaster アカウント自動接続
Browse your past videos	過去の動画を閲覧
Browser Source Audio Enabled (boolean)	ブラウザソースのオーディオ有効（ブール値）
Button ID	ボタン ID
By clicking "I Agree" below, you are agreeing to YouTube's Terms of Service, Google's Privacy Policy, and Streamer.bot's Terms of Service and Privacy policy as linked below.	下の「同意する」をクリックすると、YouTube の利用規約、Google のプライバシーポリシー、および Streamer.bot の利用規約とプライバシーポリシーに同意したことになります。
By default, timed actions will repeat, you can have them only trigger once, by unticking repeat, and it will trigger after being enabled	デフォルトではタイマーアクションは繰り返します。繰り返しのチェックを外すと一度だけトリガーし、有効化後にトリガーされます
C# Compile Settings	C# コンパイル設定
C# Compiler	C# コンパイラー
Camera does not support Noise Reduction!	カメラはノイズリダクションに対応していません！
Cancel Login	ログインをキャンセル
Capture Key	キーをキャプチャ
Capture Model Position	モデル位置をキャプチャ
Case Sensitive	大文字小文字を区別
Case Values	ケース値
Category Name	カテゴリ名
Change VoiceMod settings on the fly, or voices	VoiceMod の設定や音声を即時に変更
Change backup settings, and force backup creation	バックアップ設定を変更し、バックアップの作成を強制
Change settings.	設定を変更。
Changed only Values	値のみ変更
Changing enabled Sub-Actions requires a restart of Streamer.bot	有効なサブアクションの変更には Streamer.bot の再起動が必要です
Changing enabled Triggers requires a restart of Streamer.bot	有効なトリガーの変更には Streamer.bot の再起動が必要です
Changing the log folder requires a restart of Streamer.bot	ログフォルダーの変更には Streamer.bot の再起動が必要です
Changing these settings requires a restart of Streamer.bot	これらの設定の変更には Streamer.bot の再起動が必要です
Channel Point Rewards	チャンネルポイントリワード
Channel Points Per Vote	投票あたりのチャンネルポイント
Channel Points Per Vote, leave empty or set to 0 to disable	投票あたりのチャンネルポイント。空にするか 0 にすると無効
Channel Points Spent	消費されたチャンネルポイント
Chapter Name	チャプター名
Chapter name supports %variables%.	チャプター名は %variables% に対応しています。
Chat	チャット
Chat Client	チャットクライアント
Chatters will receive a temporary chat badge indicating the option they voted for until the prediction ends.	チャッターは、予測が終了するまで投票したオプションを示す一時的なチャットバッジを受け取ります。
Check for Updates	更新を確認
Checking this will make your value be auto typed, and has no effect on increment or decrement source	これをチェックすると値が自動入力され、増分/減分ソースには影響しません
Choices (Minimum of 2, maximum of 5)	選択肢（最小2、最大5）
Choose a custom default color to use for the Comment Sub-Action	Comment サブアクションに使用するカスタムのデフォルト色を選択
Choose the color to use when a Sub-Action is disabled	サブアクションが無効のときに使用する色を選択
Choose what MIDI pages to show	表示する MIDI ページを選択
Choose what Server/Client pages to show	表示するサーバー/クライアントページを選択
Choose what Voice Control pages to show	表示する音声コントロールページを選択
Choose what platforms to show	表示するプラットフォームを選択
Choose what services to show	表示するサービスを選択
Choose what streaming applications to show	表示する配信アプリケーションを選択
Clear History	履歴をクリア
Clear Queue	キューをクリア
Clear User	ユーザーをクリア
Clear the cache on startup if the time since last startup exceeds the given interval	前回の起動からの時間が指定の間隔を超えた場合、起動時にキャッシュをクリア
Click the button above to select a category.	上のボタンをクリックしてカテゴリを選択してください。
Click the button above to select a game, leave it empty to have your game category empty.	上のボタンをクリックしてゲームを選択してください。空にするとゲームカテゴリは空になります。
Clicking export will export your selected Actions, Queues, Commands, Timed Actions, Websocket Servers and Websocket Clients to your clipboard, and you can share them everywhere.	エクスポートをクリックすると、選択したアクション、キュー、コマンド、タイマーアクション、WebSocket サーバーとクライアントがクリップボードにエクスポートされ、どこでも共有できます。
Clients that are currently connected	現在接続されているクライアント
Clip ID	クリップ ID
Clip Title	クリップタイトル
Cloud Backups	クラウドバックアップ
Cloud Backups are a supporter perk, and require you to be subscribed at the	クラウドバックアップはサポーターパークであり、以下のサブスクリプションが必要です：
Coin Type	コインタイプ
Collapse All	すべて折りたたむ
Command	コマンド
Command Type	コマンドタイプ
Command(s)	コマンド
Commands	コマンド
Commands ({0})	コマンド（{0}）
Comment Color	コメントの色
Common References	共通参照
Compiling Log	コンパイルログ
Completed At	完了時刻
Completed Count	完了数
Confidence Threshold	信頼度しきい値
Configure Twitch Sub Counter integration settings	Twitch サブカウンター統合設定を設定
Configure actions, queues and view action history	アクション、キューを設定し、アクション履歴を表示
Configure default options when creating new Actions, Commands and other	新しいアクション、コマンドなどを作成するときのデフォルトオプションを設定
Configure options for the Credits service	Credits サービスのオプションを設定
Configure the default audio output device Streamer.bot uses	Streamer.bot が使用するデフォルトの音声出力デバイスを設定
Configure the device to use for speech recognition	音声認識に使用するデバイスを設定
Configure the first words cache	最初の言葉キャッシュを設定
Configure third party emote handling, changing these requires a restart	サードパーティの絵文字処理を設定。変更には再起動が必要です
Configure your streaming application settings	配信アプリケーションの設定を設定
Configuring Elgato CameraHub	Elgato CameraHub を設定中
Configuring Elgato WaveLink	Elgato WaveLink を設定中
Configuring HTTP Server	HTTP サーバーを設定中
Configuring Twitch	Twitch を設定中
Configuring Voice Control	音声コントロールを設定中
Connect a bot account to send messages with a different user	別のユーザーでメッセージを送信するために Bot アカウントを接続
Connect to enable Ko-fi, Patreon, FourthWall and more!	接続して Ko-fi、Patreon、FourthWall などを有効にしましょう！
Connect your Stream Deck for even more power!	Stream Deck を接続してさらに強力に！
Connect your StreamElements account to receive events	イベントを受け取るために StreamElements アカウントを接続
Connect your Streamer.bot account	Streamer.bot アカウントを接続
Connect your Streamlabs account to receive events	イベントを受け取るために Streamlabs アカウントを接続
Connect your TreatStream account to receive events	イベントを受け取るために TreatStream アカウントを接続
Connect your streaming account for core functionality	コア機能のために配信アカウントを接続
Connected	接続済み
Connected Clients	接続中のクライアント
Connecting...	接続中...
Connection Status	接続状態
Control your Elgato Camera or Prompter.	Elgato カメラまたはプロンプターをコントロール。
Control your Elgato Microphone.	Elgato マイクをコントロール。
Control your lights through LumiaStream, and receive events.	LumiaStream 経由でライトをコントロールし、イベントを受け取ります。
Cooldown	クールダウン
Copy All Variable Names	すべての変数名をコピー
Copy All Video Urls to Clipboard	すべての動画 URL をクリップボードにコピー
Copy As Text Table	テキストテーブルとしてコピー
Copy Login Link	ログインリンクをコピー
Copy all to clipboard	すべてクリップボードにコピー
Copy and paste your API Key in this field	このフィールドに API キーをコピー＆ペースト
Copy and paste your Alerts Widget URL in this field	このフィールドにアラートウィジェット URL をコピー＆ペースト
Copy and paste your Overlay URL in this field	このフィールドにオーバーレイ URL をコピー＆ペースト
Copy and paste your remote key in this field	このフィールドにリモートキーをコピー＆ペースト
Copy and paste your token in this field	このフィールドにトークンをコピー＆ペースト
Count	数
Create Backup	バックアップを作成
Create Cloud Backup	クラウドバックアップを作成
Create Custom Server	カスタムサーバーを作成
Create DonorDrive	DonorDrive を作成
Create File Tail	ファイルテールを作成
Create File Watcher	ファイルウォッチャーを作成
Create Midi Event	MIDI イベントを作成
Create Reward	リワードを作成
Create Timer	タイマーを作成
Create Websocket Client	WebSocket クライアントを作成
Create a New Poll	新しい投票を作成
Create a backup and upload it to your cloud storage	バックアップを作成してクラウドストレージにアップロード
Create folder/file watchers to react to file changes	ファイルの変更に反応するフォルダー/ファイルウォッチャーを作成
Create your own WebSocket Servers and manage them from within C#	独自の WebSocket サーバーを作成し、C# 内から管理
Create your own connections to WebSocket Servers and control them from within C#	WebSocket サーバーへの独自の接続を作成し、C# 内から制御
Create, edit and remove your output MIDI device associations	出力 MIDI デバイスの関連付けを作成、編集、削除
